Task,Scrambled_Status,Name_1,Name_2,Image1,Image2,
Alcohol,Unscrambled,Unopened_1_Target_A,Unopened_1_Control_A,..\User\Pictures\Alcohol\Unopened_1_Target_A,..\User\Pictures\Alcohol\Unopened_1_Control_A,
Alcohol,Unscrambled,Unopened_2_Target_A,Unopened_2_Control_A,..\User\Pictures\Alcohol\Unopened_2_Target_A,..\User\Pictures\Alcohol\Unopened_2_Control_A,
Alcohol,Unscrambled,Unopened_3_Target_A,Unopened_3_Control_A,..\User\Pictures\Alcohol\Unopened_3_Target_A,..\User\Pictures\Alcohol\Unopened_3_Control_A,
Alcohol,Unscrambled,Unopened_4_Target_A,Unopened_4_Control_A,..\User\Pictures\Alcohol\Unopened_4_Target_A,..\User\Pictures\Alcohol\Unopened_4_Control_A,
Alcohol,Unscrambled,Unopened_5_Target_A,Unopened_5_Control_A,..\User\Pictures\Alcohol\Unopened_5_Target_A,..\User\Pictures\Alcohol\Unopened_5_Control_A,
Alcohol,Unscrambled,Poured_1_Target_A,Poured_1_Control_A,..\User\Pictures\Alcohol\Poured_1_Target_A,..\User\Pictures\Alcohol\Poured_1_Control_A,
Alcohol,Unscrambled,Poured_2_Target_A,Poured_2_Control_A,..\User\Pictures\Alcohol\Poured_2_Target_A,..\User\Pictures\Alcohol\Poured_2_Control_A,
Alcohol,Unscrambled,Poured_3_Target_A,Poured_3_Control_A,..\User\Pictures\Alcohol\Poured_3_Target_A,..\User\Pictures\Alcohol\Poured_3_Control_A,
Alcohol,Unscrambled,Poured_4_Target_A,Poured_4_Control_A,..\User\Pictures\Alcohol\Poured_4_Target_A,..\User\Pictures\Alcohol\Poured_4_Control_A,
Alcohol,Unscrambled,Poured_5_Target_A,Poured_5_Control_A,..\User\Pictures\Alcohol\Poured_5_Target_A,..\User\Pictures\Alcohol\Poured_5_Control_A,
Alcohol,Unscrambled,Social_1_Target_A,Social_1_Control_A,..\User\Pictures\Alcohol\Social_1_Target_A,..\User\Pictures\Alcohol\Social_1_Control_A,
Alcohol,Unscrambled,Social_2_Target_A,Social_2_Control_A,..\User\Pictures\Alcohol\Social_2_Target_A,..\User\Pictures\Alcohol\Social_2_Control_A,
Alcohol,Unscrambled,Social_3_Target_A,Social_3_Control_A,..\User\Pictures\Alcohol\Social_3_Target_A,..\User\Pictures\Alcohol\Social_3_Control_A,
Alcohol,Unscrambled,Social_4_Target_A,Social_4_Control_A,..\User\Pictures\Alcohol\Social_4_Target_A,..\User\Pictures\Alcohol\Social_4_Control_A,
Alcohol,Unscrambled,Social_5_Target_A,Social_5_Control_A,..\User\Pictures\Alcohol\Social_5_Target_A,..\User\Pictures\Alcohol\Social_5_Control_A,
Alcohol,Unscrambled,Location_1_Target_A,Location_1_Control_A,..\User\Pictures\Alcohol\Location_1_Target_A,..\User\Pictures\Alcohol\Location_1_Control_A,
Alcohol,Unscrambled,Location_2_Target_A,Location_2_Control_A,..\User\Pictures\Alcohol\Location_2_Target_A,..\User\Pictures\Alcohol\Location_2_Control_A,
Alcohol,Unscrambled,Location_3_Target_A,Location_3_Control_A,..\User\Pictures\Alcohol\Location_3_Target_A,..\User\Pictures\Alcohol\Location_3_Control_A,
Alcohol,Unscrambled,Location_4_Target_A,Location_4_Control_A,..\User\Pictures\Alcohol\Location_4_Target_A,..\User\Pictures\Alcohol\Location_4_Control_A,
Alcohol,Unscrambled,Location_5_Target_A,Location_5_Control_A,..\User\Pictures\Alcohol\Location_5_Target_A,..\User\Pictures\Alcohol\Location_5_Control_A,
Social Networking,Unscrambled,Icon_1_Target_SN,Icon_1_Control_SN,..\User\Pictures\Social_Networking\Icon_1_Target_SN,..\User\Pictures\Social_Networking\Icon_1_Control_SN,
Social Networking,Unscrambled,Icon_2_Target_SN,Icon_2_Control_SN,..\User\Pictures\Social_Networking\Icon_2_Target_SN,..\User\Pictures\Social_Networking\Icon_2_Control_SN,
Social Networking,Unscrambled,Icon_3_Target_SN,Icon_3_Control_SN,..\User\Pictures\Social_Networking\Icon_3_Target_SN,..\User\Pictures\Social_Networking\Icon_3_Control_SN,
Social Networking,Unscrambled,Icon_4_Target_SN,Icon_4_Control_SN,..\User\Pictures\Social_Networking\Icon_4_Target_SN,..\User\Pictures\Social_Networking\Icon_4_Control_SN,
Social Networking,Unscrambled,Icon_5_Target_SN,Icon_5_Control_SN,..\User\Pictures\Social_Networking\Icon_5_Target_SN,..\User\Pictures\Social_Networking\Icon_5_Control_SN,
Social Networking,Unscrambled,Phone_1_Target_SN,Phone_1_Control_SN,..\User\Pictures\Social_Networking\Phone_1_Target_SN,..\User\Pictures\Social_Networking\Phone_1_Control_SN,
Social Networking,Unscrambled,Phone_2_Target_SN,Phone_2_Control_SN,..\User\Pictures\Social_Networking\Phone_2_Target_SN,..\User\Pictures\Social_Networking\Phone_2_Control_SN,
Social Networking,Unscrambled,Phone_3_Target_SN,Phone_3_Control_SN,..\User\Pictures\Social_Networking\Phone_3_Target_SN,..\User\Pictures\Social_Networking\Phone_3_Control_SN,
Social Networking,Unscrambled,Phone_4_Target_SN,Phone_4_Control_SN,..\User\Pictures\Social_Networking\Phone_4_Target_SN,..\User\Pictures\Social_Networking\Phone_4_Control_SN,
Social Networking,Unscrambled,Phone_5_Target_SN,Phone_5_Control_SN,..\User\Pictures\Social_Networking\Phone_5_Target_SN,..\User\Pictures\Social_Networking\Phone_5_Control_SN,
Social Networking,Unscrambled,Website_1_Target_SN,Website_1_Control_SN,..\User\Pictures\Social_Networking\Website_1_Target_SN,..\User\Pictures\Social_Networking\Website_1_Control_SN,
Social Networking,Unscrambled,Website_2_Target_SN,Website_2_Control_SN,..\User\Pictures\Social_Networking\Website_2_Target_SN,..\User\Pictures\Social_Networking\Website_2_Control_SN,
Social Networking,Unscrambled,Website_3_Target_SN,Website_3_Control_SN,..\User\Pictures\Social_Networking\Website_3_Target_SN,..\User\Pictures\Social_Networking\Website_3_Control_SN,
Social Networking,Unscrambled,Website_4_Target_SN,Website_4_Control_SN,..\User\Pictures\Social_Networking\Website_4_Target_SN,..\User\Pictures\Social_Networking\Website_4_Control_SN,
Social Networking,Unscrambled,Website_5_Target_SN,Website_5_Control_SN,..\User\Pictures\Social_Networking\Website_5_Target_SN,..\User\Pictures\Social_Networking\Website_5_Control_SN,
Social Networking,Unscrambled,Misc_1_Target_SN,Misc_1_Control_SN,..\User\Pictures\Social_Networking\Misc_1_Target_SN,..\User\Pictures\Social_Networking\Misc_1_Control_SN,
Social Networking,Unscrambled,Misc_2_Target_SN,Misc_2_Control_SN,..\User\Pictures\Social_Networking\Misc_2_Target_SN,..\User\Pictures\Social_Networking\Misc_2_Control_SN,
Social Networking,Unscrambled,Misc_3_Target_SN,Misc_3_Control_SN,..\User\Pictures\Social_Networking\Misc_3_Target_SN,..\User\Pictures\Social_Networking\Misc_3_Control_SN,
Social Networking,Unscrambled,Misc_4_Target_SN,Misc_4_Control_SN,..\User\Pictures\Social_Networking\Misc_4_Target_SN,..\User\Pictures\Social_Networking\Misc_4_Control_SN,
Social Networking,Unscrambled,Misc_5_Target_SN,Misc_5_Control_SN,..\User\Pictures\Social_Networking\Misc_5_Target_SN,..\User\Pictures\Social_Networking\Misc_5_Control_SN,
Alcohol,Scrambled,Unopened_1_Target_A_Scrambled,Unopened_1_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Unopened_1_Target_A,..\User\Pictures\Alcohol\Scrambled_Unopened_1_Control_A,
Alcohol,Scrambled,Unopened_2_Target_A_Scrambled,Unopened_2_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Unopened_2_Target_A,..\User\Pictures\Alcohol\Scrambled_Unopened_2_Control_A,
Alcohol,Scrambled,Unopened_3_Target_A_Scrambled,Unopened_3_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Unopened_3_Target_A,..\User\Pictures\Alcohol\Scrambled_Unopened_3_Control_A,
Alcohol,Scrambled,Unopened_4_Target_A_Scrambled,Unopened_4_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Unopened_4_Target_A,..\User\Pictures\Alcohol\Scrambled_Unopened_4_Control_A,
Alcohol,Scrambled,Unopened_5_Target_A_Scrambled,Unopened_5_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Unopened_5_Target_A,..\User\Pictures\Alcohol\Scrambled_Unopened_5_Control_A,
Alcohol,Scrambled,Poured_1_Target_A_Scrambled,Poured_1_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Poured_1_Target_A,..\User\Pictures\Alcohol\Scrambled_Poured_1_Control_A,
Alcohol,Scrambled,Poured_2_Target_A_Scrambled,Poured_2_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Poured_2_Target_A,..\User\Pictures\Alcohol\Scrambled_Poured_2_Control_A,
Alcohol,Scrambled,Poured_3_Target_A_Scrambled,Poured_3_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Poured_3_Target_A,..\User\Pictures\Alcohol\Scrambled_Poured_3_Control_A,
Alcohol,Scrambled,Poured_4_Target_A_Scrambled,Poured_4_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Poured_4_Target_A,..\User\Pictures\Alcohol\Scrambled_Poured_4_Control_A,
Alcohol,Scrambled,Poured_5_Target_A_Scrambled,Poured_5_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Poured_5_Target_A,..\User\Pictures\Alcohol\Scrambled_Poured_5_Control_A,
Alcohol,Scrambled,Social_1_Target_A_Scrambled,Social_1_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Social_1_Target_A,..\User\Pictures\Alcohol\Scrambled_Social_1_Control_A,
Alcohol,Scrambled,Social_2_Target_A_Scrambled,Social_2_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Social_2_Target_A,..\User\Pictures\Alcohol\Scrambled_Social_2_Control_A,
Alcohol,Scrambled,Social_3_Target_A_Scrambled,Social_3_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Social_3_Target_A,..\User\Pictures\Alcohol\Scrambled_Social_3_Control_A,
Alcohol,Scrambled,Social_4_Target_A_Scrambled,Social_4_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Social_4_Target_A,..\User\Pictures\Alcohol\Scrambled_Social_4_Control_A,
Alcohol,Scrambled,Social_5_Target_A_Scrambled,Social_5_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Social_5_Target_A,..\User\Pictures\Alcohol\Scrambled_Social_5_Control_A,
Alcohol,Scrambled,Location_1_Target_A_Scrambled,Location_1_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Location_1_Target_A,..\User\Pictures\Alcohol\Scrambled_Location_1_Control_A,
Alcohol,Scrambled,Location_2_Target_A_Scrambled,Location_2_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Location_2_Target_A,..\User\Pictures\Alcohol\Scrambled_Location_2_Control_A,
Alcohol,Scrambled,Location_3_Target_A_Scrambled,Location_3_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Location_3_Target_A,..\User\Pictures\Alcohol\Scrambled_Location_3_Control_A,
Alcohol,Scrambled,Location_4_Target_A_Scrambled,Location_4_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Location_4_Target_A,..\User\Pictures\Alcohol\Scrambled_Location_4_Control_A,
Alcohol,Scrambled,Location_5_Target_A_Scrambled,Location_5_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Location_5_Target_A,..\User\Pictures\Alcohol\Scrambled_Location_5_Control_A,
Social Networking,Scrambled,Icon_1_Target_SN_Scrambled,Icon_1_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Icon_1_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Icon_1_Control_SN,
Social Networking,Scrambled,Icon_2_Target_SN_Scrambled,Icon_2_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Icon_2_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Icon_2_Control_SN,
Social Networking,Scrambled,Icon_3_Target_SN_Scrambled,Icon_3_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Icon_3_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Icon_3_Control_SN,
Social Networking,Scrambled,Icon_4_Target_SN_Scrambled,Icon_4_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Icon_4_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Icon_4_Control_SN,
Social Networking,Scrambled,Icon_5_Target_SN_Scrambled,Icon_5_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Icon_5_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Icon_5_Control_SN,
Social Networking,Scrambled,Phone_1_Target_SN_Scrambled,Phone_1_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Phone_1_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Phone_1_Control_SN,
Social Networking,Scrambled,Phone_2_Target_SN_Scrambled,Phone_2_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Phone_2_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Phone_2_Control_SN,
Social Networking,Scrambled,Phone_3_Target_SN_Scrambled,Phone_3_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Phone_3_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Phone_3_Control_SN,
Social Networking,Scrambled,Phone_4_Target_SN_Scrambled,Phone_4_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Phone_4_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Phone_4_Control_SN,
Social Networking,Scrambled,Phone_5_Target_SN_Scrambled,Phone_5_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Phone_5_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Phone_5_Control_SN,
Social Networking,Scrambled,Website_1_Target_SN_Scrambled,Website_1_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Website_1_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Website_1_Control_SN,
Social Networking,Scrambled,Website_2_Target_SN_Scrambled,Website_2_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Website_2_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Website_2_Control_SN,
Social Networking,Scrambled,Website_3_Target_SN_Scrambled,Website_3_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Website_3_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Website_3_Control_SN,
Social Networking,Scrambled,Website_4_Target_SN_Scrambled,Website_4_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Website_4_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Website_4_Control_SN,
Social Networking,Scrambled,Website_5_Target_SN_Scrambled,Website_5_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Website_5_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Website_5_Control_SN,
Social Networking,Scrambled,Misc_1_Target_SN_Scrambled,Misc_1_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Misc_1_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Misc_1_Control_SN,
Social Networking,Scrambled,Misc_2_Target_SN_Scrambled,Misc_2_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Misc_2_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Misc_2_Control_SN,
Social Networking,Scrambled,Misc_3_Target_SN_Scrambled,Misc_3_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Misc_3_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Misc_3_Control_SN,
Social Networking,Scrambled,Misc_4_Target_SN_Scrambled,Misc_4_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Misc_4_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Misc_4_Control_SN,
Social Networking,Scrambled,Misc_5_Target_SN_Scrambled,Misc_5_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Misc_5_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Misc_5_Control_SN,
,,,,,,