item_name,text,type,answers,values,score:ius_27,score:ius_12,score:p_iu,score:i_iu,optional,btn_width,reversed?,
Instructions1,<span style='color:#006699'><span style='font-size:20px'>You will find below a series of statements which describe how people may react to the uncertainties of life. Please use the scale below to describe to what extent each item is characteristic of you. </span></span>,instruct,,,,,,,,,,
IUS1,Uncertainty stops me from having a firm opinion.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS2,Being uncertain means that a person is disorganised.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS3,Uncertainty makes life intolerable.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS4,It's unfair not having any guarantees in life.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS5,My mind can't be relaxed if I don't know what will happen tomorrow.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS6,"Uncertainty makes me uneasy, anxious, or stressed.",likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS7,Unforeseen events upset me greatly.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,1,,No,150px,no,
IUS8,It frustrates me not having all the information I need.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,1,,No,150px,no,
IUS9,Uncertainty keeps me from living a full life.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,,1,No,150px,no,
IUS10,One should always look ahead so as to avoid surprises.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,1,,No,150px,no,
IUS11,"A small unforeseen event can spoil everything, even with the best of planning.",likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,1,,No,150px,no,
IUS12,"When it's time to act, uncertainty paralyses me.",likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,,1,No,150px,no,
IUS13,Being uncertain means that I am not first rate.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS14,"When I am uncertain, I can't go forward.",likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS15,"When I am uncertain, I can't function very well.",likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,,1,No,150px,no,
IUS16,"Unlike me, others always seem to know where they are going with their lives.",likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS17,"Uncertainty makes me vulnerable, unhappy, or sad.",likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS18,I always want to know what the future has in store for me.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,1,,No,150px,no,
IUS19,I can't stand being taken by surprise.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,1,,No,150px,no,
IUS20,The smallest doubt can stop me from acting.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,,1,No,150px,no,
IUS21,I should be able to organise everything in advance.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,1,,No,150px,no,
IUS22,Being uncertain means that I lack confidence.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS23,I think it's unfair that other people seem sure about their future.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS24,Uncertainty keeps me from sleeping soundly.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS25,I must get away from all uncertain situations.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,1,,1,No,150px,no,
IUS26,The ambiguities in life stress me.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
IUS27,I can't stand being undecided about my future.,likert,Not at all characteristic of me|Not characteristic of me|Somewhat characteristic of me|Moderately characteristic of me|Entirely characteristic of me,1|2|3|4|5,1,,,,No,150px,no,
,,,,,,,,,,,,